연도,읍면동,구분,노지온주(극조생),노지온주(조생),노지온주(보통),하우스감귤(조기출하),비가림(월동)감귤,만감류(시설),만감류(노지),데이터기준일
2018,효돈동,면적,90.3,173.8,0.5,6.6,20.4,78.7,5.6,2024-05-13
2018,효돈동,생산량,2580,5514,17,510,801,1944,38,2024-05-13
2018,영천동,농가수,116,690,3,15,12,339,35,2024-05-13
2018,영천동,면적,77.3,488.8,1.7,4.5,8.9,117.6,21.8,2024-05-13
2018,영천동,생산량,2207,15519,59,267,349,2905,148,2024-05-13
2018,동홍동,농가수,26,155,1,4,2,65,10.5,2024-05-13
2018,동홍동,면적,15,127.3,0.2,1.2,1.4,28.9,2.4,2024-05-13
2018,동홍동,생산량,429,4039,7,41,55,714,16,2024-05-13
2018,서홍동,농가수,56,310,0,4,8,116,19,2024-05-13
2018,서홍동,면적,30.9,223,0,1.2,5,40.4,6.4,2024-05-13
2018,서홍동,생산량,887,7076,0,75,196,998,43,2024-05-13
2018,대륜동,농가수,55,514.9,2,8,10,151,25,2024-05-13
2018,대륜동,면적,43.6,376,1.3,3,6,74.5,17.3,2024-05-13
2018,대륜동,생산량,961,11930,45,233,235,1840,117,2024-05-13
2018,대천동,농가수,105,605.3,10,25,20,608,11,2024-05-13
2018,대천동,면적,85.8,443.1,5.8,8.8,11.4,235.7,17.9,2024-05-13
2018,대천동,생산량,1892,14056,203,224,447,5824,121,2024-05-13
2018,중문동,농가수,121.1,765,7,13,12,220,13.9,2024-05-13
2018,중문동,면적,104.6,516,4.1,3.6,8,97.5,13.3,2024-05-13
2018,중문동,생산량,2419,16372,143,211,314,2409,90,2024-05-13
2018,예래동,농가수,225,532,4,17,18,131,16,2024-05-13
2018,예래동,면적,194.1,348.4,2.4,5.6,11.9,67,18.2,2024-05-13
2018,예래동,생산량,4476,11055,84,430,467,1655,123,2024-05-13
2019,대정읍,농가수,103,642,10,8,45,405,24,2024-05-13
2019,대정읍,면적,96,517,9,3,32,206,27,2024-05-13
2019,대정읍,생산량,2926,17664,340,157,1556,4155,125,2024-05-13
2019,남원읍,농가수,392,2820,20,446,562,1888,102,2024-05-13
2019,남원읍,면적,272,2268,25,192,358,860,110,2024-05-13
2019,남원읍,생산량,9163,98652,1139,18371,10788,21311,433,2024-05-13
2019,성산읍,농가수,98,1038,15,33,26,277,98,2024-05-13
2019,성산읍,면적,58,818,15,13,18,104,32,2024-05-13
2019,성산읍,생산량,1588,32213,492,854,620,2455,210,2024-05-13
2019,안덕면,농가수,175,866,9,26,57,280,19,2024-05-13
2019,안덕면,면적,153,709,9,11,36,121,52,2024-05-13
2019,안덕면,생산량,4139,28661,340,620,1167,2862,273,2024-05-13
2019,표선면,농가수,118,1048,17,103,124,805,41,2024-05-13
2019,표선면,면적,106,897,17,39,88,363,38,2024-05-13
2019,표선면,생산량,3120,35226,505,2052,2968,8233,269,2024-05-13
2019,송산동,농가수,36,140,3,33,20,133,13,2024-05-13
2019,송산동,면적,28,90,1,10,12,59,7,2024-05-13
2019,송산동,생산량,695,3457,38,620,350,1848,60,2024-05-13
2019,천지동,농가수,2,6,0,1,3,12,5,2024-05-13
2019,천지동,면적,1,4,0,0,1,2,1,2024-05-13
2019,천지동,생산량,10,76,0,9,40,59,16,2024-05-13
2019,효돈동 ,농가수,157,226,1,26,29,191,14,2024-05-13
2019,효돈동 ,면적,93,181,1,8,18,92,12,2024-05-13
2019,효돈동 ,생산량,1678,5624,13,834,595,1886,88,2024-05-13
2019,영천동,농가수,130,670,3,19,13,354,31,2024-05-13
2019,영천동,면적,82,476,2,6,9,124,20,2024-05-13
2019,영천동,생산량,2331,18655,46,340,392,3375,87,2024-05-13
2019,동홍동,농가수,24,147,1,6,2,83,12,2024-05-13
2019,동홍동,면적,14,120,0,2,1,35,5,2024-05-13
2019,동홍동,생산량,508,4667,5,74,60,790,52,2024-05-13
2019,서홍동,농가수,52,331,0,6,10,112,20,2024-05-13
2019,서홍동,면적,30,225,0,2,5,37,9,2024-05-13
2019,서홍동,생산량,966,6825,0,147,124,1024,66,2024-05-13
2019,대륜동,농가수,43,520,2,8,13,140,22,2024-05-13
2019,대륜동,면적,40,380,1,3,7,63,14,2024-05-13
2019,대륜동,생산량,556,11462,40,205,210,1694,85,2024-05-13
2019,대천동,농가수,120,598,10,41,38,632,16,2024-05-13
2019,대천동,면적,98,431,6,13,28,241,20,2024-05-13
